2644/-61/20/425,2671/431><4:3172/-61/24/510,3285/530>
   25647:1731775132.905523:INF:AAAA:main                               : 815: <1:en12>,<09,fc:d2:b6:73:64:32>,<0> <Rx Good/Bad,Percent       1860/        21, 1.116%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4813/-41/35/777,4819/778><1:4868/-37/36/786,4855/784><2:4855/-41/35/784,4795/774><3:4825/-37/37/779,4612/744><4:4861/-41/35/785,4820/778>
   25647:1731775133.161630:INF:AAAA:main                               : 815: <1:en12>,<09,fc:d2:b6:73:64:32>,<1> <Rx Good/Bad,Percent     169446/        25, 0.015%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4819/-46/33/778,4813/777><1:4855/-40/36/784,4868/786><2:4795/-46/33/774,4855/784><3:4612/-38/35/744,4825/779><4:4820/-43/34/778,4861/785>
   25647:1731775133.227064:INF:AAAA:main                               : 815: <1:en12>,<10,fc:d2:b6:73:62:c3>,<0> <Rx Good/Bad,Percent      17036/       182, 1.057%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:2509/-65/20/396,2450/395><1:1830/-61/16/289,1504/242><2:3198/-58/24/505,3550/573><3:3320/-58/25/524,2274/367><4:3897/-56/28/616,3360/542>
   25647:1731775133.478074:INF:AAAA:main                               : 815: <1:en12>,<10,fc:d2:b6:73:62:c3>,<1> <Rx Good/Bad,Percent     216093/       437, 0.202%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:2450/-64/20/395,2509/396><1:1504/-59/13/242,1830/289><2:3550/-59/26/573,3198/505><3:2274/-56/18/367,3320/524><4:3360/-55/25/542,3897/616>
   25647:1731775133.586760:INF:AAAA:main                               : 815: <1:en12>,<11,fc:d2:b6:73:65:f7>,<0> <Rx Good/Bad,Percent       7414/        63, 0.843%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4827/-40/36/779,4835/780><1:4867/-38/35/786,4748/766><2:4854/-42/34/783,4854/783><3:4818/-37/37/778,4660/752><4:4860/-38/37/784,4712/761>
   25647:1731775133.849895:INF:AAAA:main                               : 815: <1:en12>,<11,fc:d2:b6:73:65:f7>,<1> <Rx Good/Bad,Percent     175914/        10, 0.006%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4835/-47/33/780,4827/779><1:4748/-41/35/766,4867/786><2:4854/-46/34/783,4854/783><3:4660/-39/35/752,4818/778><4:4712/-45/33/761,4860/784>
   25647:1731775133.913694:INF:AAAA:main                               : 815: <1:en12>,<13,fc:d2:b6:73:66:1b>,<0> <Rx Good/Bad,Percent       7893/        45, 0.567%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4837/-39/36/781,4777/771><1:4854/-36/36/783,4297/693><2:4801/-42/33/775,4855/784><3:4860/-35/37/784,4090/660><4:4821/-41/34/778,4554/735>
   25647:1731775134.174277:INF:AAAA:main                               : 815: <1:en12>,<13,fc:d2:b6:73:66:1b>,<1> <Rx Good/Bad,Percent     187438/        11, 0.006%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4777/-44/34/771,4837/781><1:4297/-38/31/693,4854/783><2:4855/-44/34/784,4801/775><3:4090/-39/31/660,4860/784><4:4554/-39/34/735,4821/778>
   25647:1731775134.257546:INF:AAAA:main                               : 815: <1:en12>,<17,fc:d2:b6:73:62:bf>,<0> <Rx Good/Bad,Percent       2686/        34, 1.250%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:1723/-69/15/264,2039/329><1:1229/-64/12/188,2099/338><2:2788/-61/22/428,3303/533><3:3016/-59/23/463,2970/479><4:3692/-58/27/567,3501/565>
   25647:1731775134.521943:INF:AAAA:main                               : 815: <1:en12>,<17,fc:d2:b6:73:62:bf>,<1> <Rx Good/Bad,Percent     170036/        13, 0.008%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:2039/-69/18/329,1723/264><1:2099/-65/17/338,1229/188><2:3303/-62/24/533,2788/428><3:2970/-58/22/479,3016/463><4:3501/-57/26/565,3692/567>
   25647:1731775134.609950:INF:AAAA:main                               : 815: <1:en12>,<22,fc:d2:b6:73:66:18>,<0> <Rx Good/Bad,Percent      29066/        45, 0.155%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4834/-41/36/780,4846/782><1:4856/-37/36/784,4764/769><2:4767/-43/33/769,4852/783><3:4838/-37/37/781,4676/755><4:4864/-40/36/785,4770/770>
   25647:1731775134.873583:INF:AAAA:main                               : 815: <1:en12>,<22,fc:d2:b6:73:66:18>,<1> <Rx Good/Bad,Percent     309072/        19, 0.006%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4846/-46/34/782,4834/780><1:4764/-45/34/769,4856/784><2:4852/-47/33/783,4767/769><3:4676/-39/35/755,4838/781><4:4770/-45/34/770,4864/785>
